Date,CAIX
2021-12-31 00:00:00,139.28
2021-12-30 00:00:00,147.2
2021-12-29 00:00:00,149.75
2021-12-28 00:00:00,146
2021-12-27 00:00:00,145.99
2021-12-24 00:00:00,146
2021-12-23 00:00:00,149.15
2021-12-22 00:00:00,149.5
2021-12-21 00:00:00,151.26
2021-12-20 00:00:00,150.49
2021-12-17 00:00:00,149.68
2021-12-16 00:00:00,148.87
2021-12-15 00:00:00,152.15
2021-12-14 00:00:00,152.61
2021-12-13 00:00:00,150
2021-12-10 00:00:00,154.44
2021-12-09 00:00:00,153.86
2021-12-08 00:00:00,153.71
2021-12-07 00:00:00,154.6
2021-12-06 00:00:00,153.85
2021-12-03 00:00:00,152.25
2021-12-02 00:00:00,152.54
2021-12-01 00:00:00,151.39
2021-11-30 00:00:00,151.34
2021-11-29 00:00:00,154.03
2021-11-26 00:00:00,152.04
2021-11-25 00:00:00,148.62
2021-11-24 00:00:00,150.77
2021-11-23 00:00:00,153.82
2021-11-22 00:00:00,153.24
2021-11-19 00:00:00,152.36
2021-11-18 00:00:00,152.24
2021-11-17 00:00:00,151.18
2021-11-16 00:00:00,151.53
2021-11-15 00:00:00,150.08
2021-11-12 00:00:00,153.71
2021-11-11 00:00:00,144.02
2021-11-10 00:00:00,148.45
2021-11-09 00:00:00,145.41
2021-11-08 00:00:00,152.19
2021-11-05 00:00:00,151.59
2021-11-04 00:00:00,145.37
2021-11-03 00:00:00,146.13
2021-11-02 00:00:00,145.51
2021-11-01 00:00:00,147.05
2021-10-29 00:00:00,149.44
2021-10-28 00:00:00,138.92
2021-10-27 00:00:00,132.33
2021-10-26 00:00:00,139.74
2021-10-25 00:00:00,141.29
2021-10-22 00:00:00,141.89
2021-10-21 00:00:00,142.04
2021-10-20 00:00:00,141.68
2021-10-19 00:00:00,139.48
2021-10-18 00:00:00,142
2021-10-15 00:00:00,139.73
2021-10-14 00:00:00,141.38
2021-10-13 00:00:00,142.09
2021-10-12 00:00:00,140.03
2021-10-11 00:00:00,139.38
2021-10-08 00:00:00,137.08
2021-10-07 00:00:00,134.43
2021-10-06 00:00:00,133.31
2021-10-05 00:00:00,137.7
2021-10-04 00:00:00,137.7
2021-10-01 00:00:00,137.71
2021-09-30 00:00:00,137.69
2021-09-29 00:00:00,137.71
2021-09-28 00:00:00,119.63
2021-09-27 00:00:00,119.63
2021-09-24 00:00:00,119.62
2021-09-23 00:00:00,119.63
2021-09-22 00:00:00,119.62
2021-09-21 00:00:00,119.62
2021-09-20 00:00:00,119.62
2021-09-17 00:00:00,115.24
2021-09-16 00:00:00,117.7
2021-09-15 00:00:00,118.81
2021-09-14 00:00:00,120.53
2021-09-13 00:00:00,117.58
2021-09-10 00:00:00,120.47
2021-09-09 00:00:00,120.46
2021-09-08 00:00:00,120.47
2021-09-07 00:00:00,119.12
2021-09-06 00:00:00,120.39
2021-09-03 00:00:00,123.97
2021-09-02 00:00:00,119.8
