Date,CISS
12/20/2019,0.0275
12/27/2019,0.0229
1/3/2020,0.04
1/10/2020,0.0314
1/17/2020,0.0397
1/24/2020,0.0437
1/31/2020,0.0697
2/7/2020,0.063
2/14/2020,0.0369
2/21/2020,0.0417
2/28/2020,0.1209
3/6/2020,0.2009
3/13/2020,0.3549
3/20/2020,0.3135
3/27/2020,0.2886
4/3/2020,0.3119
4/10/2020,0.1708
4/17/2020,0.2364
4/24/2020,0.288
5/1/2020,0.3232
5/8/2020,0.3127
5/15/2020,0.2578
5/22/2020,0.2794
5/29/2020,0.2673
6/5/2020,0.3073
6/12/2020,0.2915
6/19/2020,0.2407
6/26/2020,0.2667
7/3/2020,0.2246
7/10/2020,0.1944
7/17/2020,0.2022
7/24/2020,0.1698
7/31/2020,0.2013
8/7/2020,0.1883
8/14/2020,0.1982
8/21/2020,0.162
8/28/2020,0.1761
9/4/2020,0.1925
9/11/2020,0.1593
9/18/2020,0.1034
9/25/2020,0.1746
10/2/2020,0.1491
10/9/2020,0.1414
10/16/2020,0.1745
10/23/2020,0.1293
10/30/2020,0.1575
11/6/2020,0.1476
11/13/2020,0.1725
11/20/2020,0.1139
11/27/2020,0.1036
12/4/2020,0.1056
12/11/2020,0.0851
12/18/2020,0.0913
12/25/2020,0.0983
1/1/2021,0.0507
1/8/2021,0.0754
1/15/2021,0.0639
1/22/2021,0.0473
1/29/2021,0.0834
2/5/2021,0.0518
2/12/2021,0.0541
2/19/2021,0.0689
2/26/2021,0.0736
3/5/2021,0.057
3/12/2021,0.0537
3/19/2021,0.0455
3/26/2021,0.0365
4/2/2021,0.0462
4/9/2021,0.0329
4/16/2021,0.0459
4/23/2021,0.0459
4/30/2021,0.0345
5/7/2021,0.0454
5/14/2021,0.045
5/21/2021,0.0262
5/28/2021,0.0291
6/4/2021,0.0249
6/11/2021,0.0304
6/18/2021,0.0342
6/25/2021,0.0369
